stock,returns
AMZN,4.859985
AMZN,7.210022
AMZN,1.649963
AMZN,6.100037
AMZN,9.070007
AMZN,-0.140014
AMZN,6.309997
AMZN,1.440003
AMZN,0.929992
AMZN,11.369995
AMZN,-0.830017
AMZN,-3.419983
AMZN,-6.950012
AMZN,3.400025
AMZN,-3.600037
AMZN,8.040039
AMZN,-4.170044
AMZN,0.970032
AMZN,-3.27002
AMZN,-0.589965
AMZN,4.47998
AMZN,2.5
AMZN,-0.539978
AMZN,2.130005
AMZN,-2.059998
AMZN,0.439942
AMZN,0.450012
AMZN,-1.109985
AMZN,4.659973
AMZN,-13.769959
AMZN,4.859986
AMZN,-0.679993
AMZN,-1.77002
AMZN,1.210022
AMZN,9.179993
AMZN,18.320007
AMZN,2.02002
AMZN,10.199951
AMZN,4.970032
AMZN,15.320007
AMZN,2.450012
AMZN,-11
AMZN,-3.400024
AMZN,12.159973
AMZN,-4.679993
AMZN,-6.130005
AMZN,-11.559997
AMZN,17.320007
AMZN,1.790039
AMZN,-4.580017
AMZN,2.859986
AMZN,-3.529969
AMZN,8.879944
AMZN,0.210022
AMZN,1.669983
AMZN,9.090027
AMZN,6.609985
AMZN,23.23999
AMZN,-1.289978
AMZN,-5.909973
AMZN,-3.5
AMZN,-3.380005
AMZN,14.889954
AMZN,3.780029
AMZN,-3.869995
AMZN,-1.330017
AMZN,13.729981
AMZN,-3.380005
AMZN,8.100036
AMZN,-21.309997
AMZN,13.72998
AMZN,1.350037
AMZN,10.829956
AMZN,0.869995
AMZN,8.809998
AMZN,13.030029
AMZN,2.400024
AMZN,0.919983
AMZN,-2.080017
AMZN,1.330017
AMZN,10.779968
AMZN,4.610047
AMZN,-8.340027
AMZN,7.070007
AMZN,0.200013
AMZN,-31.960022
AMZN,-13.400025
AMZN,15.880005
AMZN,-4.320007
AMZN,-12.299988
AMZN,23.540039
AMZN,7.459961
AMZN,-2.579956
AMZN,9.639953
AMZN,-0.929992
AMZN,2.440002
AMZN,-9.76001
AMZN,-17.199951
AMZN,13.549988
AMZN,-14.400024
AMZN,-7.929993
AMZN,-14.340027
AMZN,17.740051
AMZN,-6.260009
AMZN,13.619995
AMZN,17.709961
AMZN,-2.339966
AMZN,12.380005
AMZN,-5.880005
AMZN,1.179993
AMZN,8.22998
AMZN,14.409973
AMZN,2.420044
AMZN,1.829956
AMZN,-3.029907
AMZN,13.279907
AMZN,0.920044
AMZN,12.930054
AMZN,-6.800049
AMZN,-25.960022
AMZN,-32.259949
AMZN,8.409973
AMZN,-0.299987
AMZN,-8.970032
AMZN,0.660034
AMZN,4.690003
AMZN,-2.429993
AMZN,-7.830017
AMZN,-25.090027
AMZN,11.070007
AMZN,15.309998
AMZN,-0.559998
AMZN,-4.559997
AMZN,-17.609986
AMZN,-2.100036
AMZN,-5.179993
AMZN,13.610046
AMZN,-8.900024
AMZN,-5.549988
AMZN,-7.190002
AMZN,0.76001
AMZN,8.039978
AMZN,13.530029
AMZN,13.009949
AMZN,-2.349976
AMZN,-12.97998
AMZN,2.529968
AMZN,11.669983
AMZN,-13.569947
AMZN,12.059998
AMZN,4.619995
AMZN,17.019959
AMZN,-7.389954
AMZN,-5.420044
AMZN,-12.599976
AMZN,-4.330017
AMZN,3.350037
AMZN,-8.559998
AMZN,-9.550048
AMZN,-15.309998
AMZN,-1.190002
AMZN,12.270019
AMZN,5.530029
AMZN,4.949952
AMZN,-2.159974
AMZN,-2.090026
AMZN,8.350036
AMZN,15.399964
AMZN,8.730041
AMZN,1.409973
AMZN,-3.789978
AMZN,7.799988
AMZN,5.929993
AMZN,2.010009
AMZN,3.400025
AMZN,2.789978
AMZN,-12.130005
AMZN,-10.390015
AMZN,-3.700012
AMZN,-16.609985
AMZN,9.600036
AMZN,-2.990051
AMZN,-0.47998
AMZN,9.900025
AMZN,-5.569947
AMZN,-1.599975
AMZN,-9.460083
AMZN,17.380005
AMZN,9.060058
AMZN,2.51001
AMZN,9.709961
AMZN,-3.75
AMZN,-3.780029
AMZN,3.820068
FB,2.119995
FB,-0.860001
FB,1.450005
FB,-0.770004
FB,4.75
FB,-0.299996
FB,-0.630005
FB,-0.459999
FB,0.030007
FB,0.459999
FB,-2.450005
FB,-3.32
FB,0.300004
FB,2.029998
FB,-0.120002
FB,0.639999
FB,0.960007
FB,0.769996
FB,-1.910003
FB,2.540001
FB,-0.099999
FB,0.360001
FB,-0.699997
FB,-0.630005
FB,-0.150002
FB,-0.049995
FB,-1.639999
FB,-0.130005
FB,0.740005
FB,-1.090004
FB,-0.57
FB,-1.299995
FB,1.809998
FB,1.830001
FB,1.979996
FB,2.740006
FB,1.489998
FB,-0.550004
FB,1.739998
FB,0.530007
FB,1.719993
FB,-0.469993
FB,0.049995
FB,-0.369995
FB,-0.510002
FB,1.889992
FB,0.440002
FB,2.110001
FB,1.300003
FB,-0.600006
FB,-1.199997
FB,-0.659989
FB,2.909989
FB,-2.39
FB,0.14
FB,1.080002
FB,-0.220002
FB,2.360001
FB,-0.059998
FB,0.050003
FB,-0.139999
FB,-0.199997
FB,-0.410004
FB,0.399994
FB,-0.309997
FB,0.190002
FB,2.399994
FB,-0.759994
FB,0.080001
FB,0.970002
FB,-0.870011
FB,1.880005
FB,-0.660003
FB,0.410003
FB,0.25
FB,-0.119995
FB,0.419998
FB,0.520004
FB,0.549988
FB,0.810013
FB,-0.279999
FB,0.399994
FB,0.270004
FB,-0.150009
FB,0.100006
FB,-1.430007
FB,1.080001
FB,-0.059997
FB,0.809997
FB,-0.019989
FB,1.439988
FB,0.889999
FB,-0.23999
FB,-0.360001
FB,0.229996
FB,-0.550003
FB,0.12001
FB,-0.680008
FB,-0.389999
FB,0.259994
FB,-1.119995
FB,-0.339996
FB,-0.190003
FB,2.029999
FB,-0.459991
FB,1.309997
FB,1.529999
FB,-0.12001
FB,1.790008
FB,1.020004
FB,0.069993
FB,1.139999
FB,2.550003
FB,2.210007
FB,0.319992
FB,-0.979996
FB,-0.949997
FB,-0.610001
FB,0.819993
FB,-0.580002
FB,-0.190003
FB,-0.25
FB,0.290009
FB,-0.14
FB,-0.410003
FB,-4.929993
FB,2.809998
FB,0.399994
FB,0.180007
FB,-0.169998
FB,1.969986
FB,1.920014
FB,0.169998
FB,0.25
FB,-0.919998
FB,0.069992
FB,2.080002
FB,0.020004
FB,-0.820007
FB,0.309997
FB,1.590012
FB,-5.110001
FB,-1.160004
FB,2.239991
FB,-0.429993
FB,-0.449997
FB,0.839996
FB,2.229996
FB,-0.619995
FB,1.660004
FB,-0.51001
FB,1.670013
FB,-1.480011
FB,-3.009994
FB,2.660003
FB,-2.200012
FB,-0.059997
